No.,Character,Unicode,Set,Challenge note,TW/Hakka code,IICore TW,IICore HK,Table A,Table B,Small dict,Revised,County/city name,Road name,Surname flag,Examinee,City,JIS,Font count,Category,Notes
5172,玠,073A0,Big5-2,,B,,,V,,V,,,,642,,3,,13,Surname / personal name,
5430,吔,5414,CJK,Clearer with Hakka literacy,,,,,V,V,,,,,,,,12,Onomatopoeia,Interjection; now often written as 耶
6253,矸,077F8,Big5-2,TW,B,,,V,,V,,,,,,,,10,,
6597,窳,07AB3,Big5-2,,C,,,V,,V,,,,,,3,,9,,Minecraft
17874,𩵚,29D5A,ExtB,,,,,,,,,,,,,,,1,,Suggest adding 「𩵚」 to the basic set; common collocation 「𩵚魠（魚）」. Folk spelling; Big-5 lacked it so 「土」 was substituted.
5794,廍,05ECD,CJK,TW,C,,,,,,,22,,,,,,11,,糖廍 (traditional sugar mill (Taiwan))
5584,綫,07DAB,CJK,,,,,,,V,,,1,,,2,,12,Variant form,線 (line / thread)
5623,蝓,8753,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,2,,12,Flora & fauna,蛞蝓 (slug)
5319,轆,08F46,Big5-2,TW,B,B,,V,,V,,,,,1,2,,13,Common word,飢腸轆轆 (stomach rumbling with hunger)
5536,燿,071FF,Big5-2,,A,A,,V,,V,,,,212,,2,人,12,Common in naming,
6926,睚,0775A,Big5-2,TW / Hakka,B,,,V,,V,,,,,,2,,8,,
6500,捋,0634B,Big5-2,TW / Hakka,B,,,V,,V,,,,,,,,9,,
5538,狒,072D2,Big5-2,,B,B,,V,,V,,,,,,2,,12,Common word,狒狒 (baboon)
6225,煸,7178,Big5-2,,B,,,,,,,,,,,,,10,,
5674,雩,9.60E+10,Big5-1,,A,A,,V,,V,,,,20,,3,,12,Common in naming,
5776,媞,05A9E,Big5-2,,C,,,V,,V,,,,50,,3,,11,Surname / personal name,
6719,鯪,09BEA,Big5-2,TW,B,B,,V,,V,,,,,,4,,9,,
5040,嗔,055D4,Big5-2,,A,A,,V,,V,,,,,,2,,13,Common word,Anger-related meaning
5080,幡,5.00E+61,Big5-1,TW / Hakka,A,A,,V,,V,,,,,5,1,人,13,Common word,幡然悔悟 (suddenly repent / turn over a new leaf)
5071,岬,05CAC,Big5-2,,A,A,,V,,V,,,,,597,1,常,13,Common word,海岬 (cape / promontory)
5258,茼,0833C,Big5-2,,B,,,V,V,V,,,,3,,4,,13,Flora & fauna,茼蒿 (crown daisy / garland chrysanthemum)
5166,燠,7.10E+01,Big5-1,,A,A,,V,V,V,,,,,,2,,13,Common word,溫燠 (warm / cozy)
5756,坌,0574C,Big5-2,TW,C,,,V,,V,,,,,,4,,11,,大坌坑遺址 (Dapenkeng archaeological site)
5443,嗄,055C4,Big5-2,TW / Hakka,C,,,V,,V,,,2,1,,2,,12,Onomatopoeia,Interjection
2415,滷,06EF7,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,2,,14,Uncategorized,
6568,琰,7430,Big5-2,,A,A,,V,,V,,,,38,,3,,9,,
5583,絣,07D63,Big5-2,,,,,V,,V,,,,,,2,,12,Japanese,
6109,塽,0587D,Big5-1,,A,A,,,,V,,,,2,,,,10,,
5548,璉,7489,Big5-2,,A,A,,V,,V,,5,,255,,3,,12,Common in naming,
17561,鷳,09DF3,Big5-2,,,,,,,V,,,,3,,,,1,,
5343,鉉,9249,Big5-1,,A,A,,V,,V,,,9,167,,2,,13,Surname / personal name,Common in company / shop names
6915,瓖,074D6,Big5-1,,A,,,V,,V,,,,2,,4,,8,,
6358,酆,9146,Big5-2,TW,,,,V,,V,,,289,17,,4,,10,,
4473,鈺,0923A,Big5-2,,A,A,,V,,V,,,,7762,,3,,14,Uncategorized,
5174,珂,073C2,Big5-2,,A,A,,V,,V,,,,89,2,1,人,13,Surname / personal name,
8830,衖,8856,Big5-2,HK / Hakka note,C,,,V,,,,,,,,,,5,,弄 (alley / play with / make)
4225,蹟,08E5F,Big5-1,TW / Hakka,A,A,,V,V,V,,,,3,,1,人,14,Uncategorized,
5869,溏,06E8F,Big5-2,,C,,,V,,V,,,,6,,2,,11,Common word,
5656,釆,091C6,Big5-1,,A,,,V,,V,,,,51,,1,,12,Radical,Radical
2916,睇,7747,Big5-2,,B,B,,V,,V,,,,,,2,,14,Uncategorized,
7045,髕,09AD5,Big5-2,,C,,,V,,V,,,,,,4,,8,,髕骨 (patella / kneecap)
6717,鯀,09BC0,Big5-1,,A,,,V,,V,,,,,,2,,9,,
6003,錵,9335,Big5-2,,,,,,,,,,,1,,2,,11,,
8993,骾,09ABE,Big5-2,,,,,V,,V,,,,,,,,5,,如骾在喉 (like a bone stuck in the throat)
6383,顳,9873,Big5-2,,C,,,V,,V,,,,,,2,,10,,
13401,魈,09B48,Big5-2,,,,,V,,V,,,,,,,,2,,Suggest including 「魈」. 「山魈」 appears in folklore and zoology; also frequent in pop culture.
4797,餚,0991A,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,4,,14,Uncategorized,
5178,琇,7407,Big5-2,,A,A,,V,V,V,,,,2438,,3,,13,Surname / personal name,
5504,栖,6816,Big5-2,HK / Hakka note,A,A,,V,,V,,,,,2,1,人,12,Flora & fauna,羊栖菜; or variant of 棲
5091,愆,6106,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,2,,13,Common word,罪愆 (sin / fault)
1114,尪,05C2A,Big5-2,TW,C,,,V,,V,,,,,,,,14,Uncategorized,
5081,廄,05EC4,Big5-1,,A,A,,V,,V,,,,,1,,,13,Uncategorized,馬廄 (stable)
508,叻,053FB,Big5-1,,A,A,,V,,,,,,,47,,,14,Uncategorized,
5882,煆,7146,Big5-1,,A,,,V,,V,,,,,,3,,11,Science & engineering,煆燒 (calcine / roast at high heat)
5230,緲,07DF2,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,縹緲 (ethereal / indistinct)
6397,黽,09EFD,Big5-2,,C,,,V,,V,,,,,,2,,10,,
5634,謳,08B33,Big5-2,TW,A,A,,V,V,V,,,,1,,2,,12,Common word,謳歌 (sing the praises of)
5949,蒔,8494,Big5-2,HK / Hakka note,A,A,,V,,V,,,,92,,1,人,11,,
5452,坯,0576F,Big5-2,TW / Hakka,A,A,,V,,V,,,,,,4,,12,Common word,手拉坯 (hand-thrown pottery)
5486,拏,062CF,Big5-2,,A,A,,V,,V,,,,,,2,,12,Variant form,拿 (take / hold)
712,嘸,5638,Big5-2,,C,,,V,,V,,,,,,2,,14,Uncategorized,
7549,嘧,5627,Big5-2,,,,,V,,V,,,,,,,,6,,嘧啶 (pyrimidine)
5392,鶘,09D98,Big5-2,,C,,,V,,V,,,,,,,,13,Flora & fauna,鵜鶘 (pelican)
5094,憋,0618B,Big5-2,,A,A,,V,,V,,,,,,,,13,Common word,憋尿 (hold in urine)
5648,鄞,0911E,Big5-1,,A,,,V,,V,,,2213,147,,4,,12,,
5959,蜡,8721,Big5-2,,,,,V,,V,,,,,,4,,11,,
5935,芾,082BE,Big5-1,,A,,,V,V,V,,,,6,,3,,11,,米芾 (Mi Fu (Song calligrapher))
5462,孖,05B56,Big5-2,,,B,,,,V,,,,,,3,,12,Cantonese,
6262,秈,079C8,Big5-1,,A,,,V,,V,,,,1,,3,,10,,秈稻 (indica rice)
5305,譙,08B59,Big5-1,,A,,,V,,V,,,38,3,,3,,13,Common word,
6662,跫,08DEB,Big5-2,,B,,,V,,V,,,,,,2,,9,,
5403,伎,04F0E,Big5-2,,A,A,,V,,V,,,,7,,1,常,12,Common word,伎倆 (trick / crafty tactic)
3344,纍,07E8D,Big5-2,,B,B,,V,V,V,,,,,,3,,14,Uncategorized,
5322,迸,08FF8,Big5-1,TW,A,A,,V,V,V,,,,,,2,,13,Common word,迸發 (burst forth)
5469,嶠,05DA0,Big5-2,TW,A,A,,V,,V,,,,8,,3,,12,Common in naming,Common in company / shop names
5762,埴,057F4,Big5-2,,,A,,V,,V,,,,1,,1,人,11,Classical Chinese,
5396,鼯,09F2F,Big5-1,,A,,,V,,V,,,,,,4,,13,Common word,鼯鼠 (flying squirrel)
5954,蚋,0868B,Big5-2,TW,C,,,V,,V,,,38,,,2,,11,,加蚋 (place name with 蚋 / midges)
5787,岭,05CAD,Big5-2,,A,,,V,,,,,,10,,4,,11,Variant form,嶺 (mountain ridge)
6954,脘,8118,Big5-2,,A,A,,V,,V,,,,,,3,,8,,
6718,鯁,09BC1,Big5-2,,C,,,V,,V,,,,,,3,,9,,如鯁在喉 (like a fishbone stuck in the throat)
5084,彊,05F4A,Big5-1,,A,A,,V,,V,,,,18,,1,,13,Common word,仁愛吾彊condo
6210,溱,06EB1,Big5-2,,A,A,,V,,V,,,,183,,3,,10,,
3942,襬,0896C,Big5-1,,A,,,V,V,V,,,,,,,,14,Uncategorized,
5013,与,04E0E,Big5-2,,,,,V,,,,,,,,1,常,13,Variant form,與 (and / with / give)
5202,碇,7887,Big5-2,TW,A,A,,V,,V,36,47,,11,10,1,,13,Taiwan place name,石碇 (Shiding (New Taipei))
6304,菔,083D4,Big5-1,,A,,,V,,V,,,,2,,4,,10,,
6910,玦,073A6,Big5-2,,,,,V,,V,,,,11,,3,,8,,玉玦 (jade ring with a gap (玦))
5852,殫,06BAB,Big5-2,,C,,,V,V,V,,,,,,2,,11,Common word,殫思竭慮 (exhaust all thought and care)
3823,蜆,8706,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,2,,14,Uncategorized,
6017,雰,096F0,Big5-2,,,A,,V,,V,,,,162,,1,常,11,,
5036,哞,054DE,Big5-2,,C,,,,V,,,,,,,,,13,Common word,Cattle sound
3562,舖,8216,Big5-2,TW,B,,,V,,V,,,,,42,2,,14,Uncategorized,
5112,晞,0665E,Big5-1,,A,A,,V,,V,,,,103,,2,,13,Common word,白露未晞 (white dew not yet dry (詩經))
3152,筱,07B71,Big5-2,HK / Hakka note,B,B,,V,,V,,,3,6441,,2,,14,Uncategorized,
5158,烟,070DF,CJK,,A,A,,,,V,,,,13,,2,,13,Variant form,煙 (smoke / cigarette)
6857,摭,0646D,Big5-1,,A,,,V,,V,,,,1,,3,,8,,
6868,昃,6603,Big5-2,,,,,V,,V,,,,1,,2,,8,,千字文 (Thousand Character Classic)
5710,俥,04FE5,CJK,,B,,,,,,,,,,,2,,11,Occasionally used,Chinese chess (象棋)
5509,椹,6939,Big5-2,TW,B,,,V,,V,,,,,,2,,12,Food,
1893,晾,0667E,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,,,14,Uncategorized,
2156,欸,06B38,Big5-2,TW / Hakka,C,,,V,V,V,,,1,,,2,,14,Uncategorized,
6343,蹇,8.00E+47,Big5-2,,A,A,,V,,V,,,46,4,,2,,10,,
5156,瀲,7032,Big5-1,,A,,,V,,V,,,,2,,2,,13,Classical Chinese,水光瀲灩晴方好 (rippling water shines best in fair weather (飲湖上初晴後雨))
6103,埆,057C6,Big5-2,TW,C,,,V,,V,,,,,,2,,10,,土埆厝 (adobe / rammed-earth house)
4463,鈎,0920E,CJK,,A,A,,,,V,,1,,,,1,,14,Uncategorized,
5865,浯,06D6F,Big5-2,,C,,,V,,V,,4,,2,,,,11,Taiwan place name,浯江 (Wu River (Kinmen))
6020,頇,9807,Big5-2,TW,C,,,V,,V,,,,,,,,11,,
3390,翊,07FCA,Big5-2,,A,A,,V,,V,,,,3554,,2,,14,Uncategorized,
6499,挲,6332,Big5-2,TW / Hakka,B,,,V,,V,,,,,,4,,9,,
6317,虯,0866F,Big5-2,TW,B,,,V,,V,,,,,,4,,10,,
5227,綉,07D89,CJK,,B,,,,,V,,,,513,,2,,13,Surname / personal name,
1464,愷,6137,Big5-1,,A,A,,V,,V,,,4,1768,,3,,14,Uncategorized,
5198,瞅,7785,Big5-2,TW,A,A,,V,,V,,,,,,,,13,Common word,瞅一眼 (take a glance)
6032,鯔,09BD4,Big5-2,,C,,,V,,V,,,,,,2,,11,,
5482,惊,060CA,Big5-2,,,,,,,,,,,,,,,12,Simplified form,驚 (startle / frighten)
5896,疱,075B1,CJK,TW,,A,,,,V,,,,,,2,,11,,疱疹 (herpes)
5780,孅,05B45,Big5-2,,,,,V,,V,,,,4,,2,,11,Common in naming,
6671,迓,08FD3,Big5-2,,B,,,V,,V,,,,,,4,,9,,
3230,糬,07CEC,Big5-2,HK / Hakka note,C,,,V,V,V,,,,,,,,14,Uncategorized,
7033,雒,096D2,Big5-1,,A,,,V,,V,,,20,1,,3,,8,,
6491,憮,061AE,Big5-1,,A,A,,V,,V,,,,,,2,,9,,
6373,鎵,093B5,Big5-2,,C,,,V,,V,,,,25,,,,10,,
5244,胝,080DD,Big5-1,,A,,,V,V,V,,,,,,2,,13,Common word,胼胝體 (corpus callosum)
6153,摃,6443,Big5-2,TW,B,,,V,,,,,,,,,,10,,
5755,圮,0572E,Big5-2,,C,,,V,V,V,,,,,,,,11,,
5595,胜,080DC,Big5-2,,A,,,V,,V,,,,,,,,12,Common word,Peptide (胜肽); also simplified 勝
5030,凄,051C4,Big5-2,,,A,,V,,,,,,,,1,常,13,Variant form,淒 (bleak / chilly / sorrowful)
1716,摀,6440,Big5-2,,C,,,V,V,V,,,,,,,,14,Uncategorized,
610,哽,054FD,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,2,,14,Uncategorized,
5613,蔘,8518,Big5-2,,A,A,,V,,V,,,,10,,2,,12,Flora & fauna,人蔘 (ginseng)
5604,苫,082EB,Big5-2,,,,,V,,V,,,9,1,2,1,,12,World place name,苫小牧 (Tomakomai (Japan))
6462,姮,059EE,Big5-2,,A,A,,V,,V,,,,217,,4,,9,,
3205,籽,07C7D,Big5-1,HK / Hakka note,A,A,,V,V,V,,1,,3,,,,14,Uncategorized,
5684,鬻,09B3B,Big5-2,,,,,V,V,V,,,,,,2,,12,Classical Chinese,
4774,飆,098C6,Big5-2,TW / Hakka,B,B,,V,V,V,,,,1,,2,,14,Uncategorized,
5805,懌,061CC,Big5-2,,,,,V,,V,,,,75,,2,,11,Common in naming,
5259,荃,8343,Big5-1,,A,A,,V,,V,,,,427,,3,,13,Surname / personal name,
6330,詡,08A61,Big5-2,,C,,,V,,V,,,,17,,3,,10,,自詡 (boast / style oneself as)
5076,嵯,05D6F,Big5-1,TW,A,A,,V,,V,,,,,,1,人,13,World place name,嵯峨 (steep mountains); also 嵯峨野
5384,魠,09B60,Big5-2,TW,C,,,V,,V,,,,,,,,13,Common word,土魠魚 (Spanish mackerel (土魠))
5537,犇,7287,CJK,,C,,,,,V,,,,,,2,,12,Variant form,犇牛堡; variant of 奔
6544,洎,06D0E,Big5-1,HK / Hakka note,A,,,V,,V,,,,2,,3,,9,,
3880,衊,0884A,Big5-2,,C,,,V,,V,,,,,,4,,14,Uncategorized,
1894,暄,6684,Big5-1,,A,A,,V,V,V,,,,735,,2,,14,Uncategorized,
5497,晷,6677,Big5-1,,A,A,,V,V,V,,,,,,3,,12,Common word,日晷 (sundial)
5948,葺,0847A,Big5-2,,A,A,,V,,V,,,,,,1,人,11,,
5419,刖,5216,Big5-1,,A,,,V,,V,,,,,,4,,12,Historical / geographic,古刑罰 (ancient punishment)
6761,偭,0506D,Big5-1,,A,,,V,,V,,,,,,,,8,,Li Sao: 偭規矩而改錯
3630,茨,8328,Big5-1,,A,A,,V,V,V,,,,25,39,1,常,14,Uncategorized,
5327,邋,0908B,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,,,13,Common word,邋遢 (slovenly / messy)
1130,屌,05C4C,Big5-2,HK / Hakka note,B,,,V,,V,,,,,,,,14,Uncategorized,
5449,囓,056D3,Big5-2,HK / Hakka note,C,,,V,,,,,,,,2,,12,Variant form,齧 (gnaw / nibble)
6606,緡,07DE1,Big5-2,,A,A,,V,V,V,,,,4,,2,,9,,
5926,繰,7.00E+70,Big5-2,,,A,,V,,V,,,,,,1,常,11,Japanese,
5664,鋌,092CC,Big5-2,,A,A,,V,,V,,,,24,,3,,12,Common word,鋌而走險 (take a desperate risk)
6584,硿,0787F,Big5-1,TW,A,,,,,,,1,,,,,,9,,
5149,滕,06ED5,Big5-1,,A,A,,V,,V,,,1938,137,55,2,,13,Surname / personal name,
6966,薤,085A4,Big5-2,,,,,V,,V,,,,,,2,,8,,五辛之一 (one of the five pungent spices)
5184,璿,074BF,Big5-1,TW,A,A,,V,,V,,,,972,,3,,13,Surname / personal name,
7813,皤,076A4,Big5-2,,C,,,V,,V,,,,,,,,6,,白髮皤皤 (white-haired / hoary)
5994,鉬,0926C,Big5-2,,C,,,V,,V,,,,,,,,11,,
5317,蹭,08E6D,Big5-2,HK / Hakka note,A,,,V,,V,,,,,,4,,13,Common word,蹭熱度 (piggyback on a trend / clout-chase)
5409,偲,5072,Big5-2,,A,,,V,,V,,,,343,,1,人,12,,
6124,嵬,05D6C,Big5-2,HK / Hakka note,,A,,V,V,V,,,1,,,2,,10,,Suggest moving 「嵬」 from local to basic set. Related to 「巍」 (巍峨/嵬峨); place name 「馬嵬」 is common in history/literature.
5237,纛,07E9B,Big5-2,,A,A,,V,,V,,,,,,2,,13,Classical Chinese,纛旗 (large military banner)
1873,昱,6631,Big5-1,TW / Hakka,A,A,,V,V,V,,,,8510,,3,,14,Uncategorized,
6396,鴃,09D03,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,2,,10,,
7690,枵,067B5,Big5-2,TW / Hakka,,,,V,,V,,,,,,,,6,,枵腹從公 (serve the public on an empty stomach)
6629,臢,8.10E+03,Big5-1,TW,A,,,V,,V,,,,,,,,9,,
5355,鎘,9398,Big5-1,,A,,,V,,V,,,,,,,,13,Science & engineering,Periodic-table element
5790,嶙,05D99,Big5-2,,B,B,,V,,V,,,,35,,4,,11,Common in naming,
2150,欒,06B12,Big5-2,,A,A,,V,,V,,,1302,55,,2,,14,Uncategorized,
6236,獪,0736A,Big5-2,,,A,,V,,V,,,,,,2,,10,,
5791,巿,05DFF,Big5-2,,C,,,V,,V,,6,,,,,,11,,Usually a typo for 市
5741,喨,055A8,Big5-2,TW,B,,,V,,V,,,,93,,2,,11,Surname / personal name,
9114,䠷,4837,ExtA,,,,,,,,,,,,,,,4,,"Suggest adding 「䠷」 to the basic set; common word 「高䠷」. Big-5 lacked it, so 「高挑」 often substituted. Still common in modern Chinese and school dictionaries."
6374,隹,096B9,Big5-1,,A,,,V,,V,,,,,,2,,10,,
6337,譫,08B6B,Big5-1,HK / Hakka note,A,,,,,V,,,,,,2,,10,,
5407,俬,04FEC,Big5-2,,B,B,,,,,,,,,,,,12,Common word,家俬 (furniture (Cantonese))
5162,煒,7152,Big5-2,,B,B,,V,V,V,,,,1817,,3,,13,Surname / personal name,
5386,鰈,09C08,Big5-2,,B,,,V,,V,,,,,,2,,13,Common word,鶼鰈情深 (deep conjugal affection (legendary birds/fish pair))
5251,芎,0828E,Big5-2,TW / Hakka,A,A,,V,,V,47,69,71,5,2,3,,13,Common word,九芎 (Lagerstroemia / Taiwan crepe myrtle)
6355,邶,090B6,Big5-1,,A,,,V,,V,,,,,,4,,10,,
7049,鴟,09D1F,Big5-2,TW,,,,,,V,,,,,,2,,8,,鴟鴞 (bā-hio̍h / ㄔㄒㄧㄠ)
6417,伋,04F0B,Big5-1,,A,A,,V,,V,,,4,6,,3,,9,,
5740,喎,0558E,Big5-2,,,B,,,,V,,,,,,3,,11,Cantonese,
6521,昤,6624,Big5-1,,A,A,,,,,,,,1,,3,,9,,
5957,蛐,086D0,Big5-1,,A,A,,V,,V,,,,,,,,11,,
5596,脛,0811B,Big5-2,HK / Hakka note,A,A,,V,,V,,,,,,2,,12,Common word,不脛而走 (spread like wildfire)
5618,蘢,8622,Big5-2,,,C,,V,,V,,,,1,,2,,12,Common in naming,
7183,忮,05FEE,Big5-2,,C,,,V,,V,,,,,,4,,7,,不忮不求 (neither envious nor covetous)
6731,黌,09ECC,Big5-1,,A,,,V,,V,,,,13,,2,,9,,
5087,忪,05FEA,Big5-1,,A,,,V,V,V,,,,,,,,13,Common word,睡眼惺忪 (sleepy-eyed / half-awake)
5064,嫺,05AFA,Big5-2,,B,B,,,,V,,,,803,,2,,13,Surname / personal name,Common in personal names
5302,謔,08B14,Big5-2,TW,A,A,,V,V,V,,,,,,2,,13,Common word,戲謔 (banter / jest)
5837,槙,069D9,Big5-2,,A,,,,,,,,,15,,1,人,11,Common in naming,
4558,鑫,0946B,Big5-2,TW,B,B,,V,,V,,4,,1763,,3,,14,Uncategorized,
11212,辵,08FB5,CJK,,,,,,,V,,,,,,3,,3,,
7523,匭,0532D,Big5-2,,C,,,V,,V,,,,,,,,6,,票匭、字匭 (ballot box / letter box (匭))
5530,瀣,7023,Big5-2,,A,A,,V,,V,,,,,,4,,12,,沆瀣一氣 (hand in glove / collude)
5873,漚,06F1A,Big5-2,TW / Hakka,C,,,V,,V,,,,1,,3,,11,Common word,
6988,豳,08C73,Big5-1,,A,,,V,,V,,,,,,4,,8,,
3312,緹,07DF9,Big5-1,,A,A,,V,,V,,,,107,,4,,14,Uncategorized,
4030,誹,08AB9,Big5-1,TW,A,A,,V,,V,,,,,,1,,14,Uncategorized,
1898,暐,6690,Big5-2,,A,A,,V,,V,,,,1851,,4,,14,Uncategorized,
3691,葚,0845A,Big5-2,,B,,,V,V,V,,,,1,,4,,14,Uncategorized,
259,儕,5115,Big5-1,HK / Hakka note,A,A,,V,,V,,,,23,,2,,14,Uncategorized,
5239,耄,8004,Big5-1,,A,,,V,,V,,,,2,,2,,13,Classical Chinese,耄耋之年 (advanced old age (80–90))
5659,鉞,0925E,Big5-2,,A,A,,V,,V,,,,45,,2,,12,Common in naming,
6955,脰,8130,Big5-1,TW,A,,,V,,V,,,,,,,,8,,
143,侄,04F84,Big5-2,,A,A,,V,,V,,,,,,,,14,Uncategorized,
6214,瀅,7005,Big5-2,,A,A,,V,,V,,,,1047,,3,,10,Surname / personal name,
5027,冪,051AA,Big5-1,,A,A,,V,,V,,,,,,2,,13,Science & engineering,降冪 (descending power / descending order)
6421,僇,050C7,Big5-1,,A,,,V,,V,,,,,,4,,9,,
6036,鱲,09C72,CJK,TW,B,,,,,,,,,,,4,,11,,
1770,擷,064F7,Big5-1,,A,A,,V,,V,,,,5,,3,,14,Uncategorized,
8780,莩,083A9,Big5-2,,,A,,V,,V,,,,,,3,,5,,民有飢色野有餓莩 (people look starved; corpses in the fields)
6800,噍,0564D,CJK,TW / Hakka,,,,,,V,,2,,,,,,8,,噍吧哖事件 (Tapani Incident (1915 Taiwan))
5126,槃,069C3,Big5-1,,A,A,,V,,V,,,,3,,2,,13,Common word,涅槃 (nirvana)
5732,咔,5494,CJK,,B,,,,,,,,,,,,,11,Onomatopoeia,咔擦 (click / snap (onomatopoeia))
6893,湟,06E5F,Big5-1,,A,A,,V,,V,,,,31,,2,,8,,
2499,灝,0705D,Big5-2,,A,A,,V,,V,,,,225,,3,,14,Uncategorized,
6566,琚,0741A,Big5-2,,B,,,V,,V,,,,11,,3,,9,,
5279,蛞,086DE,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,2,,13,Flora & fauna,蛞蝓 (slug)
5889,瑭,0746D,Big5-1,,A,,,,,,,,,76,,3,,11,Common in naming,
5297,詒,08A52,Big5-2,,C,,,V,,V,,1,,243,,2,,13,Surname / personal name,Common in personal names
1179,崴,05D34,Big5-1,,A,,,V,,V,,,,845,1,,,14,Uncategorized,
5400,仝,04EDD,Big5-2,TW,A,A,,V,V,V,,,203,14,,,,12,Variant form,Same as / related: 同
7443,阨,9628,Big5-2,,C,,,V,,V,,,,,,2,,7,,困阨 (dire straits / hardship)
6001,鋏,092CF,Big5-2,TW,A,A,,V,,V,,,,,,2,,11,,
5979,賸,08CF8,Big5-1,,A,,,V,,V,,,,15,,3,,11,,
6027,魟,09B5F,Big5-2,,C,,,,,V,,,,,,,,11,,
7219,晬,0666C,Big5-2,TW,,,,V,,V,,,,,,4,,7,,周晬 (first birthday (full year))
6082,啷,5577,Big5-2,HK / Hakka note,B,,,V,,V,,,,,,,,10,,
6514,擀,064C0,CJK,,,,,,,V,,,,,,,,9,,擀麵 (roll dough / hand-pulled noodles prep)
5503,柘,067D8,Big5-2,,,,,V,,V,,,2,6,,1,人,12,Flora & fauna,桑柘; common in personal names
6006,鎩,093A9,Big5-2,,C,,,V,,V,,,,,,,,11,,
5461,嬲,05B32,Big5-2,,,B,,V,,V,,,,,,2,,12,Occasionally used,
5335,酶,9176,CJK,,A,,,,,V,,,,,,,,13,Science & engineering,酵素 (enzyme / fermented enzyme drink)
1362,忑,05FD1,Big5-2,,B,B,,V,V,V,,,,,,,,14,Uncategorized,
6167,晢,6662,Big5-2,,B,B,,V,,V,,,,68,,2,,10,,
5874,澔,06F94,Big5-2,,A,A,,V,,V,,,,409,,3,,11,Surname / personal name,
5789,嶔,05D94,Big5-1,,A,,,V,,V,,,,84,,4,,11,Common in naming,
6569,瑠,7460,CJK,,A,A,,,,,,,,,,1,常,9,,瑠公圳 (Liugong Canal (Taipei))
5331,鄔,9114,Big5-2,TW,B,B,,V,,V,,,2841,149,,3,,13,Surname / personal name,
1665,掐,6390,Big5-2,,A,A,,V,V,V,,,,,,,,14,Uncategorized,
5803,慓,6153,Big5-2,,A,A,,V,,V,,,,,,2,,11,Common word,慓悍 (fierce and agile)
38,乜,04E5C,Big5-2,TW / Hakka,B,B,,V,,V,,,46,,,,,14,Uncategorized,
6174,枓,6793,Big5-1,,A,A,,V,,V,,,,,,3,,10,,
5229,綬,07DAC,Big5-1,,A,A,,V,,V,,,,7,,1,,13,Flora & fauna,綬草 (also many company names)
5308,貅,08C85,Big5-2,,,,,V,,V,,,,,,2,,13,Flora & fauna,貔貅 (mythic beast); common in company names
5442,唰,5530,Big5-2,,B,,,V,,,,,,,,,,12,Common word,Onomatopoeia
6541,氘,06C18,Big5-2,,,,,V,,V,,,,,,,,9,,
5983,跖,08DD6,Big5-2,,,,,V,,V,,,,,,2,,11,,
6041,鸛,09E1B,Big5-1,,A,,,V,V,V,,,,2,,2,,11,,
5855,氙,06C19,Big5-2,,B,,,V,,V,,,,,,,,11,,Chemical element
5115,曄,066C4,Big5-1,,A,A,,V,,V,,,,851,,2,,13,Surname / personal name,
6537,橾,06A7E,Big5-1,,A,,,V,,,,,,,,4,,9,,
5881,焿,0713F,CJK,HK / Hakka note,C,,,,,V,,1,,,,,,11,,Common folk character for 羹
1177,崧,05D27,Big5-1,,A,A,,V,,V,,2,,452,,3,,14,Uncategorized,
3577,艋,0824B,Big5-1,TW,A,,,V,V,V,,1,,,,4,,14,Uncategorized,
1555,扑,6251,Big5-1,TW,A,,,V,,V,,,,,,4,,14,Uncategorized,
3597,芮,082AE,Big5-2,,A,A,,V,,V,,,476,435,,3,,14,Uncategorized,
5941,菀,083C0,Big5-2,,B,,,V,,V,,,,823,,3,,11,Surname / personal name,
5588,罫,07F6B,Big5-2,,,A,,V,,V,,,,,,1,,12,Common word,罫線 (ruled lines / grid lines)
5660,鉦,9266,Big5-2,,A,A,,V,,V,,,,326,,1,,12,Common in naming,古樂器 (ancient musical instrument)
5373,饌,0994C,Big5-2,,A,A,,V,,V,,,,,,2,,13,Common word,"有酒食，先生饌 (when there is food and wine, serve the elders first (論語))"
6207,渼,06E3C,Big5-2,,A,A,,V,,V,,,,55,,4,,10,,
5248,舘,8218,CJK,,A,,,,,,,30,,,,1,,13,Variant form,館 (hall / restaurant / gallery)
5888,珩,7.30E+10,Big5-2,,A,A,,V,,V,,2,,324,,3,,11,,
1883,晟,0665F,Big5-2,TW / Hakka,A,A,,V,,V,,,,1701,,2,人,14,Uncategorized,
6067,凃,051C3,CJK,Clearer with Taiwanese literacy,C,,,,,,,,16447,645,,3,,10,Surname / personal name,
3232,糰,07CF0,Big5-1,HK / Hakka note,A,,,V,V,V,,,,,,,,14,Uncategorized,
